date,year,season,bc_cut,site,position,rep,code,DM_totalBC,Lp_g,Ac_g,Dg_g,Ao_g,Bh_g,Ryt_g,Vb_g,Cm_g,Hl_g,Cc_g,Ca_g,La_g,Sa_g,Tr_g,Tp_g,Ts_g,Td_g,Tg_g,Pl_g,catsear_g,hawksbeard_g,carex_g,juncus_g,unknown_g,dead_g,Lp_per,Ac_per,Dg_per,Ao_per,Bh_per,Ryt_per,Vb_per,Cm_per,Hl_per,Cc_per,Ca_per,La_per,Sa_per,Tr_per,Tp_per,Ts_per,Td_per,Tg_per,Pl_per,catsear_per,hawksbeard_per,carex_per,juncus_per,unknown_per,dead_per
11/12/2019,1,spring,0,wa,tree,1,S1T1P1,3.7091,0.303,0.57,2.0553,,0.2401,,,,,0.0560,,,,,,,,,,,,,,0.0624,0.4223,0.081690976,0.153676094,0.554123642,0,0.064732684,0,0,0,0,0.015098002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016823488,0.113855113
11/12/2019,1,spring,0,wa,tree,2,S1T2P1,2.0483,0.2852,,1.4101,,,,,,,,,,,,,,,,,,,,,,0.353,0.139237416,0,0.688424547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172338036
11/12/2019,1,spring,0,wa,tree,3,S1T3P1,2.6279,1.014,0.2535,,,,,,0.8135,,,,,,,,,,,,,,,,,0.5469,0.385859431,0.096464858,0,0,0,0,0,0.309562769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208112942
11/12/2019,1,spring,0,wa,tree,4,S1T4P1,3.0334,2.1368,,0.0783,,0.0823,,,0.4502,,,,,,,,,,,,,,,,0.0513,0.2345,0.704424079,0,0.02581262,0,0.027131272,0,0,0.148414321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016911716,0.077305993
11/12/2019,1,spring,0,wa,open,1,S1T1P2,3.1225,0.6537,1.1692,,,0.4025,0.105,,,0.195,,,,,,,,,,0.152,,,,,,0.4451,0.209351481,0.374443555,0,0,0.128903122,0.033626902,0,0,0.06244996,0,0,0,0,0,0,0,0,0,0.048678943,0,0,0,0,0,0.142546037
11/12/2019,1,spring,0,wa,open,2,S1T2P2,3.1197,0.0738,0.2598,,0.1786,,0.4585,0.8878,,,,,,,,,,,,,,,,,0.089,1.1722,0.023656121,0.083277238,0,0.057249094,0,0.14696926,0.284578645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028528384,0.375741257
11/12/2019,1,spring,0,wa,open,3,S1T3P2,3.1712,0.487,0.508,,,0.106,0.4295,0.9205,,,,,,,,,,,,,,,,,0.2689,0.4513,0.153569627,0.160191726,0,0,0.033425832,0.135437689,0.290268668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847944,0.142312059
11/12/2019,1,spring,0,wa,open,4,S1T4P2,3.3796,0.067,,,,0.7945,1.5774,0.2423,,,,,,,,,,,,,,,,,0.3194,0.379,0.019824831,0,0,0,0.235086993,0.466741626,0.071694875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094508226,0.112143449
16/12/2019,1,spring,0,hb,tree,1,S2T1P1,3.1687,2.1555,0.4931,0.325,,0.0585,,,,,,,,,,,,,,,,,,,,0.1366,0.68024742,0.155615868,0.102565721,0,0.01846183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043109161
16/12/2019,1,spring,0,hb,tree,2,S2T2P1,4.2587,2.423,0.8341,0.4755,,0.1295,,,,0.1,,,,,,,,,,,,,,,0.0166,0.28,0.568952967,0.195857891,0.111653791,0,0.030408341,0,0,0,0.023481344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003897903,0.065747763
16/12/2019,1,spring,0,hb,tree,3,S2T3P1,4.1656,1.0885,0.1955,0.4075,,0.9046,,,1.327,,,,,,,,,,,,,,,,,0.2425,0.261306895,0.046932015,0.097825043,0,0.217159593,0,0,0.318561552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058214903
16/12/2019,1,spring,0,hb,tree,4,S2T4P1,3.3779,1.4845,0.3805,0.3515,,0.4595,,,0.4553,,,,,,,,,,,,,,,,,0.2466,0.43947423,0.11264395,0.104058735,0,0.136031262,0,0,0.134787886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073003937
16/12/2019,1,spring,0,hb,tree,5,S2T5P1,3.4875,0.831,0.4315,1.7788,,0.2011,,,,,,,,,,,,,,,,,,,0.1222,0.1229,0.23827957,0.123727599,0.510050179,0,0.057663082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035039427,0.035240143
16/12/2019,1,spring,0,hb,open,1,S2T1P2,1.0448,0.2516,0.1427,,,,0.3109,0.1243,,,,,,,,,,,,,,,,,,0.2153,0.240811639,0.136581164,0,0,0,0.297568913,0.118970138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206068147
16/12/2019,1,spring,0,hb,open,2,S2T2P2,3.1994,0.3557,0.4955,0.2455,0.527,,,,,0.3714,0.1008,,,,0.04,,,,,,,,0.4601,,0.2136,0.3898,0.111177096,0.154872789,0.076733137,0.164718385,0,0,0,0,0.116084266,0.031505907,0,0,0,0.012502344,0,0,0,0,0,0,0,0.143808214,0,0.066762518,0.121835344
16/12/2019,1,spring,0,hb,open,3,S2T3P2,2.1168,0.0329,1.1852,,,,0.1923,0.4154,,,,,,,,,,,,,,,,,,0.291,0.015542328,0.559901738,0,0,0,0.090844671,0.196239607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137471655
16/12/2019,1,spring,0,hb,open,4,S2T4P2,3.1553,0.4504,1.8536,,0.1802,,,0.0997,,,,,,,,,,,,,,,0.082,,,0.4894,0.142743955,0.587456026,0,0.057110259,0,0,0.031597629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02598802,0,0,0.155104111
16/12/2019,1,spring,0,hb,open,5,S2T5P2,2.5769,,0.6121,0.0358,0.4563,,0.4323,0.152,,,,,,,,,,,,,,,0.3126,,,0.5758,0,0.23753347,0.013892662,0.177073228,0,0.167759711,0.058985603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121308549,0,0,0.223446777
12/02/2020,1,summer,1,wa,tree,1,S1T1P1,0.3498,0.0605,,0.1795,,,,,,,,,,,,,,,,,,,,,,0.1098,0.172955975,0,0.513150372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313893654
12/02/2020,1,summer,1,wa,tree,2,S1T2P1,0.306,0.0343,,0.2517,,,,,,,,,,,,,,,,,,,,,,0.02,0.112091503,0,0.82254902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065359477
12/02/2020,1,summer,1,wa,tree,3,S1T3P1,0.3242,0.0918,0.0304,0.0454,,,,,0.037,,,,,,,,,,,,,,,,,0.1196,0.283158544,0.093769278,0.140037014,0,0,0,0,0.114127082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368908081
12/02/2020,1,summer,1,wa,tree,4,S1T4P1,0.5988,0.4776,0.0375,,,,,,,,,,,,,,,,,,,,,,,0.0837,0.79759519,0.062625251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139779559
12/02/2020,1,summer,1,wa,open,1,S1T1P2,0.3946,,0.047,,,,0.0126,,,,,,,,,,,,,,,,,,,0.335,0,0.119107957,0,0,0,0.031931069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848960973
12/02/2020,1,summer,1,wa,open,2,S1T2P2,0.1828,,0.0393,,,,0.041,,,,,,,,,,,,,,,,,,,0.1025,0,0.214989059,0,0,0,0.22428884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560722101
12/02/2020,1,summer,1,wa,open,3,S1T3P2,0.5728,,0.0149,,,,,,,,,,,,,,,,,,,,,,,0.5579,0,0.02601257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97398743
12/02/2020,1,summer,1,wa,open,4,S1T4P2,0.7559,,0.0102,,0.0968,,0.0996,,,,,,,,,,,,,,,,,,,0.5493,0,0.013493848,0,0.128059267,0,0.131763461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726683424
13/02/2020,1,summer,1,hb,tree,1,S2T1P1,0.3753,0.2072,,0.1127,,,,,,,,,,,,,,,,,,,,,,0.0554,0.55209166,0,0.300293099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147615241
13/02/2020,1,summer,1,hb,tree,2,S2T2P1,0.6929,0.4232,,0.0921,,,,,,,,,,,,,,,,,,,,,,0.1776,0.610766344,0,0.132919613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256314042
13/02/2020,1,summer,1,hb,tree,3,S2T3P1,0.2497,0.1176,,0.0261,,,,,,,,,,,,,,,,,,,,,,0.106,0.470965158,0,0.104525431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424509411
13/02/2020,1,summer,1,hb,tree,4,S2T4P1,0.573,0.0674,,0.1453,,,,,,,,,,,,,,,,,,,,,,0.3603,0.117626527,0,0.253577661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628795812
13/02/2020,1,summer,1,hb,tree,5,S2T5P1,0.2104,0.051,,0.0817,,,,,,,,,,,,,,,,,,,,,,0.0777,0.242395437,0,0.388307985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369296578
13/02/2020,1,summer,1,hb,open,1,S2T1P2,1.5695,0.0511,0.4874,0.3914,0.0298,,,,,,,,,,,,,,,,,,,,,0.6098,0.03255814,0.310544759,0.249378783,0.018986939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388531379
13/02/2020,1,summer,1,hb,open,2,S2T2P2,0.4088,,0.0492,,0.0055,,,,,,,,,,,,,,,,,,,,,0.3541,0,0.12035225,0,0.013454012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866193738
13/02/2020,1,summer,1,hb,open,3,S2T3P2,0.2211,,0.0732,,,,0.0262,,,,,,,,,,,,,,,,,,,0.1217,0,0.331071913,0,0,0,0.118498417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55042967
13/02/2020,1,summer,1,hb,open,4,S2T4P2,0.367,0.0172,0.0967,,,,,,,,,,,,,,,,,,,,,,,0.2531,0.046866485,0.263487738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689645777
13/02/2020,1,summer,1,hb,open,5,S2T5P2,0.4267,,0.1241,0.0577,0.0228,,,,,,,,,,,,,,,,0.0307,,,,,0.1914,0,0.290836653,0.135223811,0.053433326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071947504,0,0,0,0,0.448558706
20/05/2020,1,autumn ,2,wa,tree,1,S1T1P1,0.5058,0.055,0.0235,0.3903,,,,,,,,,,,,,,,,,,,,,,0.037,0.108738632,0.046461052,0.771648873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073151443
20/05/2020,1,autumn ,2,wa,tree,2,S1T2P1,0.5957,0.085,0.0348,0.4552,,,,,,,,,,,,,,,,,,,,,,0.0207,0.142689273,0.058418667,0.764143025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034749035
20/05/2020,1,autumn ,2,wa,tree,3,S1T3P1,0.6384,0.1083,0.0437,0.3035,,0.0521,,,,,,,,,,,,,,,,,,,0.0614,0.0694,0.169642857,0.068452381,0.475407268,0,0.081610276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096177945,0.108709273
20/05/2020,1,autumn ,2,wa,tree,4,S1T4P1,0.5599,0.4527,0.0076,0.043,,0.0102,,,,,,,,,,,,,,,,,,,,0.0464,0.808537239,0.013573852,0.076799428,0,0.018217539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082871941
20/05/2020,1,autumn ,2,wa,open,1,S1T1P2,0.4875,0.0861,0.3279,,,,,,,,,,,,,,,,,0.0285,,,,,,0.045,0.176615385,0.672615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058461538,0,0,0,0,0,0.092307692
20/05/2020,1,autumn ,2,wa,open,2,S1T2P2,0.3301,0.0275,0.0275,,,0.2527,,,,,,,,,,,,,,,,,,,0.0113,0.0111,0.083308088,0.083308088,0,0,0.765525598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034232051,0.033626174
20/05/2020,1,autumn ,2,wa,open,3,S1T3P2,0.4983,,0.1902,,,0.1613,,,,,,,,,,,,,,0.0305,,,,,,0.1163,0,0.381697772,0,0,0.323700582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061208108,0,0,0,0,0,0.233393538
20/05/2020,1,autumn ,2,wa,open,4,S1T4P2,0.3887,0.035,0.22,,,0.083,,,,,,,,,,,,,,0.0106,,,,,0.0188,0.0213,0.090043736,0.565989195,0,0,0.213532287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027270388,0,0,0,0,0.048366349,0.054798045
19/05/2020,1,autumn ,2,hb,tree,1,S2T1P1,1.7118,1.5527,,0.0671,,,,,,,,,,,0.0226,,,,,0.009,,,,,,0.0604,0.907056899,0,0.039198504,0,0,0,0,0,0,0,0,0,0,0.013202477,0,0,0,0,0.005257624,0,0,0,0,0,0.035284496
19/05/2020,1,autumn ,2,hb,tree,2,S2T2P1,0.7179,0.5876,,0.0902,,,,,,,,,,,,,,,,0.0101,,,,,,0.03,0.818498398,0,0.12564424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014068812,0,0,0,0,0,0.04178855
19/05/2020,1,autumn ,2,hb,tree,3,S2T3P1,0.6356,0.1155,0.0959,,,0.241,,,,,,0.0728,,,0.0086,0.0029,,,,,,,,,0.0989,0,0.181718062,0.150881057,0,0,0.379169289,0,0,0,0,0,0.114537445,0,0,0.013530522,0.004562618,0,0,0,0,0,0,0,0,0.155601007,0
19/05/2020,1,autumn ,2,hb,tree,4,S2T4P1,0.8796,0.7543,,0.0081,,0.0275,,,,,,,0.04,,,,,,,,,,,,,0.0497,0.857548886,0,0.009208731,0,0.031264211,0,0,0,0,0,0,0.045475216,0,0,0,0,0,0,0,0,0,0,0,0,0.056502956
19/05/2020,1,autumn ,2,hb,tree,5,S2T5P1,0.5001,0.0652,,0.1904,0.006,,,,,,,,,,,,,,,,,,,,,0.2385,0.130373925,0,0.380723855,0.0119976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476904619
19/05/2020,1,autumn ,2,hb,open,1,S2T1P2,0.7771,0.1197,0.3505,0.263,0.0125,,,,,,,,,,,,,,,0.0082,,,,,,0.0232,0.15403423,0.451035903,0.338437781,0.016085446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010552053,0,0,0,0,0,0.029854588
19/05/2020,1,autumn ,2,hb,open,2,S2T2P2,0.3938,,0.0118,,,,,,,,,,,,,,,,,,,,,,,0.382,0,0.029964449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970035551
19/05/2020,1,autumn ,2,hb,open,3,S2T3P2,0.3292,0.0122,0.1907,0.0077,,,,,,,,,,,,0.0036,,,,,,,,,,0.115,0.037059538,0.579283111,0.023390036,0,0,0,0,0,0,0,0,0,0,0,0.010935601,0,0,0,0,0,0,0,0,0,0.349331713
19/05/2020,1,autumn ,2,hb,open,4,S2T4P2,0.4884,0.0693,0.1946,,0.02,,,,,,,,,,,,,,,,,,,,,0.2045,0.141891892,0.398443898,0,0.040950041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418714169
19/05/2020,1,autumn ,2,hb,open,5,S2T5P2,0.3442,0.0256,0.2341,,0.005,,,,,,,,,,,,,,,0.01,,,,,,0.0695,0.074375363,0.680127833,0,0.014526438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029052876,0,0,0,0,0,0.20191749
12/08/2020,1,winter,3,wa,tree,1,S1T1P1,0.2975,0.1212,0.0152,0.1013,,0.0094,,,,,,,,,,,,,,,,,,,,0.0504,0.407394958,0.051092437,0.340504202,0,0.031596639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169411765
12/08/2020,1,winter,3,wa,tree,2,S1T2P1,0.2037,0.0756,0.0205,0.0647,,0.0091,,,,,,,,,,,,,,,,,,,,0.0338,0.371134021,0.100638193,0.317623957,0,0.04467354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16593029
12/08/2020,1,winter,3,wa,tree,3,S1T3P1,0.2785,0.0154,,0.1018,,0.1548,,,,,,,,,,,,,,,,,,,,0.0065,0.05529623,0,0.365529623,0,0.555834829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023339318
12/08/2020,1,winter,3,wa,tree,4,S1T4P1,0.2635,0.1833,,,,0.0664,,,,,,,,,,,,,,,,,,,0.0138,,0.695635674,0,0,0,0.25199241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052371917,0
12/08/2020,1,winter,3,wa,open,1,S1T1P2,0.1902,0.0101,0.0665,,0.0242,,,,,,,,,,,,,,,,,,,,0.0113,0.0781,0.053101998,0.349631966,0,0.12723449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059411146,0.4106204
12/08/2020,1,winter,3,wa,open,2,S1T2P2,0.1667,0.0118,0.0038,,0.1174,,0.0012,,,,,,,,,,,,,,,,,,0.0017,0.0308,0.070785843,0.022795441,0,0.704259148,0,0.00719856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01019796,0.184763047
12/08/2020,1,winter,3,wa,open,3,S1T3P2,0.1367,0.0253,0.0363,,0.0315,,,,,,,,,,,,,,,,,,,,0.0082,0.0354,0.185076811,0.265544989,0,0.230431602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059985369,0.258961229
12/08/2020,1,winter,3,wa,open,4,S1T4P2,0.0979,0.0039,0.0058,,0.0419,,,0.0015,,,,,,,,,,,,,,,,,,0.0448,0.039836568,0.059244127,0,0.427987743,0,0,0.015321757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457609806
12/08/2020,1,winter,3,hb,tree,1,S2T1P1,0.2152,0.1534,0.0563,,,0.0055,,,,,,,,,,,,,,,,,,,,,0.712825279,0.2616171,0,0,0.025557621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2020,1,winter,3,hb,tree,2,S2T2P1,0.1776,0.1209,0.0067,0.0309,,0.009,,,,,,,,,,,,,,,,,,,,0.0101,0.680743243,0.037725225,0.173986486,0,0.050675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056869369
12/08/2020,1,winter,3,hb,tree,3,S2T3P1,0.2516,0.0671,0.0071,0.0137,,0.1369,,,,,,,,,,,,,,,,,,,0.0268,,0.266693164,0.028219396,0.05445151,0,0.544117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106518283,0
12/08/2020,1,winter,3,hb,tree,4,S2T4P1,0.3592,0.0568,,,,0.2182,,,,,,,,,,,,,,,,,,,0.0622,0.022,0.158129176,0,0,0,0.607461024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173162584,0.061247216
12/08/2020,1,winter,3,hb,tree,5,S2T5P1,0.2317,0.218,,,,,,,,,,,,,0.0052,,,,,,,,,,0.0085,,0.940871817,0,0,0,0,0,0,0,0,0,0,0,0,0.022442814,0,0,0,0,0,0,0,0,0,0.036685369,0
12/08/2020,1,winter,3,hb,open,1,S2T1P2,0.1354,0.043,0.042,0.0015,0.009,,,,,,,,,,0.0052,0.0032,,,,,,,,,0.0056,0.0259,0.317577548,0.310192024,0.011078287,0.066469719,0,0,0,0,0,0,0,0,0,0.038404727,0.023633678,0,0,0,0,0,0,0,0,0.041358936,0.191285081
12/08/2020,1,winter,3,hb,open,2,S2T2P2,0.1983,0.0235,0.0097,,0.0549,,,,,,,,,,,,,,,,,,,0.0081,,0.1021,0.118507312,0.048915784,0,0.276853253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040847201,0,0.51487645
12/08/2020,1,winter,3,hb,open,3,S2T3P2,0.0987,0.027,0.0248,,0.0034,,,,,,,,,,,0.0029,,,,,,,,,,0.0406,0.273556231,0.251266464,0,0.034447822,0,0,0,0,0,0,0,0,0,0,0.029381966,0,0,0,0,0,0,0,0,0,0.411347518
12/08/2020,1,winter,3,hb,open,4,S2T4P2,0.1423,0.0349,0.0605,,0.0075,,,,,,,,,,0.0191,,,,,,,,,,,0.0203,0.2452565,0.425158117,0,0.052705552,0,0,0,0,0,0,0,0,0,0.134223472,0,0,0,0,0,0,0,0,0,0,0.14265636
12/08/2020,1,winter,3,hb,open,5,S2T5P2,0.183,0.0034,0.0132,0.0074,0.0095,,,,,,,,,,,,,,,,,,,0.0168,,0.1327,0.018579235,0.072131148,0.040437158,0.051912568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091803279,0,0.725136612
05/12/2020,1,spring,4,wa,tree,1,S1T1P1,0.6601,0.1041,0.2262,0.2505,,0.0399,,,,,,,,,,,,,,,,,,,,0.0394,0.157703378,0.342675352,0.379487956,0,0.060445387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059687926
05/12/2020,1,spring,4,wa,tree,2,S1T2P1,0.4321,0.1133,0.094,0.0505,,0.026,0.0108,,,,,,,,,,,,,0.0733,,,,,0.0642,,0.262207822,0.217542236,0.116871095,0,0.060171257,0.024994214,0,0,0,0,0,0,0,0,0,0,0,0,0.169636658,0,0,0,0,0.148576718,0
05/12/2020,1,spring,4,wa,tree,3,S1T3P1,0.3899,0.1515,,0.1513,,0.0573,,,0.0116,,,,,,,,,,,0.0095,,,,,0.0049,0.0038,0.38856117,0,0.388048217,0,0.146960759,0,0,0.029751218,0,0,0,0,0,0,0,0,0,0,0.024365222,0,0,0,0,0.012567325,0.009746089
05/12/2020,1,spring,4,wa,tree,4,S1T4P1,0.5741,0.361,,,,0.0433,,,0.024,,,0.0909,,,,,,,,,,,,,0.0494,0.0055,0.628810312,0,0,0,0.0754224,0,0,0.041804564,0,0,0.158334785,0,0,0,0,0,0,0,0,0,0,0,0,0.086047727,0.009580213
05/12/2020,1,spring,4,wa,open,1,S1T1P2,0.4865,0.0158,0.1111,,0.0305,,0.0473,,,,,,,,,,,,,0.2787,,,,,,0.0031,0.032476876,0.228365879,0,0.062692703,0,0.097225077,0,0,0,0,0,0,0,0,0,0,0,0,0.57286742,0,0,0,0,0,0.006372045
05/12/2020,1,spring,4,wa,open,2,S1T2P2,0.5106,0.015,0.0083,,,,0.1305,,,,,,,,0.1872,,0.0231,,,0.1111,,,,,0.0354,,0.029377203,0.016255386,0,0,0,0.255581669,0,0,0,0,0,0,0,0.366627497,0,0.045240893,0,0,0.217587152,0,0,0,0,0.0693302,0
05/12/2020,1,spring,4,wa,open,3,S1T3P2,0.5536,0.04,0.0283,,,,0.0702,,,,,0.0758,,,,,0.0206,0.028,0.1833,0.0677,,,,,0.0397,,0.072254335,0.051119942,0,0,0,0.126806358,0,0,0,0,0.136921965,0,0,0,0,0.037210983,0.050578035,0.331105491,0.122290462,0,0,0,0,0.071712428,0
